job,company,location,salary,exp
Product Development Analyst,PT Astra International Tbk,Jakarta,Company prefers not to disclose,3 – 5 tahun
MARKETING FOR SEXUALITY WELLNESS BRAND,PT Anugerah Adhikarya Ajaib,"Kebon Jeruk, Jakarta",IDR5.000.000 - 8.500.000,1 – 3 tahun
Tutor  Prakarya dan Kewirausahaan SMP-SMA,Homeschooling Kak Seto,South Tangerang,IDR100 - 200,Kurang dari setahun
Internal Audit,PT Superior Prima Sukses,Jawa,Company prefers not to disclose,1 – 3 tahun
BRAND MANAGER,Lamonte Mode,Depok,IDR3.000.000 - 5.000.000,1 – 3 tahun
Staff Engineering,PT Ilamos Pasifik Indonesia,"Sawah Besar, Jakarta",IDR100 - 200,1 – 3 tahun
Sales E-commerce,MINDLAB,Tangerang,IDR4.000.000 - 5.000.000,1 – 3 tahun
Web Developer,PT Mplus Solusi Perdana,Jakarta,IDR8.000.000 - 10.000.000,1 – 3 tahun
Full Stack Design Creative,Borong Indonesia,"Senayan, Jakarta",IDR9.000.000 - 12.000.000,3 – 5 tahun
Digital Content Strategist,PT. Bintang Jaya Unggul Sentosa,"Penjaringan, Jakarta",IDR1.250.000 - 4.500.000,1 – 3 tahun
Scientific Support,Pt Sahabat Lingkungan Hidup,Surabaya,Company prefers not to disclose,Kurang dari setahun
Sales Corporate Staff,PT. Balai Lelang Caready,Bekasi,IDR4.500.000 - 5.500.000,1 – 3 tahun
MANAGER SOCIAL MEDIA,PT. Nara Citra Indonesia,"Tanjung Priok, Jakarta",IDR5.000.000 - 10.000.000,3 – 5 tahun
Product Manager,Pintar Ventura Pertama,Jakarta,Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
Videographer,Zero One Group,Jakarta,IDR7.000.000 - 9.000.000,1 – 3 tahun
Recruitment Internship,Emos Global Digital,"Pulo Gadung, Jakarta",IDR100 - 200,Kurang dari setahun
CUSTOMER SERVICE,Lamonte Mode,Depok,IDR2.000.000 - 3.000.000,1 – 3 tahun
KOL MANAGEMENT,Lastday Production,Tangerang,IDR4.000.000 - 4.500.000,1 – 3 tahun
Social Media Marketing Intern (Paid Internship),Kindnation Group,"Kembangan, Jakarta",IDR1.500.000,
ACCOUNTING STAFF,PT BANGUN KARYA PERKASA JAYA Tbk.,Surabaya,Company prefers not to disclose,Kurang dari setahun
SOCIAL MEDIA SPECIALIST,PT IBU SAYANG ANAK SUKSES,Surabaya,IDR400 - 500,1 – 3 tahun
E-commerce Sales Executive,MINDLAB,Tangerang,IDR4.000.000 - 5.000.000,1 – 3 tahun
Wordpress Developer,Skolla EdTech,"Mampang Prapatan, Jakarta",Company prefers not to disclose,1 – 3 tahun
Mobile App Developer,VocaGame,Surabaya,IDR4.500.000 - 6.000.000,1 – 3 tahun
Sales Executive Bekasi,PT Mitra Kerja Utama,Bekasi,IDR4.500.000 - 5.000.000,Kurang dari setahun
Web Designer,Vi8e Interactive Pte. Ltd.,Surabaya,IDR4.000.000 - 6.000.000,1 – 3 tahun
Supervisor General Affair,Pt Bernofarm,"Kembangan, Jakarta",Company prefers not to disclose,1 – 3 tahun
Graphic Designer,Hartanah Group,Jakarta,Company prefers not to disclose,1 – 3 tahun
Marketing and Partnership,Pt Bening Bersinar Bercahaya,Denpasar,IDR4.000.000,1 – 3 tahun
Graphic Designer,Zero One Group,Jakarta,IDR8.000.000 - 10.000.000,1 – 3 tahun
